batch,beat_start,beat_duration,pitch_midi,velocity,section
R2,0.0,1.0,60,52,germination
R3,0.0,1.0,72,46,germination
R2,1.0,1.0,67,52,germination
R3,1.0,1.0,69,46,germination
R1,2.0,1.0,65,51,germination
R3,2.0,1.0,67,46,germination
R1,4.0,1.0,57,51,germination
R2,4.0,1.0,62,52,germination
R3,4.0,1.0,72,46,germination
R2,5.0,1.0,60,52,germination
R3,5.0,1.0,72,46,germination
R1,6.0,1.0,65,51,germination
R3,6.0,1.0,67,46,germination
R2,7.0,1.0,57,52,germination
R1,8.0,1.0,55,51,germination
R2,9.0,1.0,57,52,germination
R1,10.0,1.0,53,51,germination
R2,10.0,1.0,57,52,germination
R3,11.0,1.0,67,46,germination
R2,12.0,1.0,57,52,germination
R3,12.0,1.0,72,46,germination
R1,13.0,1.0,60,51,germination
R1,14.0,1.0,67,51,germination
R1,15.0,1.0,57,51,germination
R2,15.0,1.0,57,52,germination
R3,15.0,1.0,65,46,germination
R1,16.0,1.0,65,51,germination
R3,17.0,1.0,67,46,germination
R3,18.0,1.0,72,46,germination
R3,19.0,1.0,67,46,germination
R2,20.0,1.0,57,52,germination
R1,21.0,1.0,67,51,germination
R2,21.0,1.0,57,52,germination
R3,21.0,1.0,67,46,germination
R1,22.0,1.0,69,51,germination
R1,23.0,1.0,72,51,germination
R2,23.0,1.0,65,52,germination
R3,23.0,1.0,67,46,germination
R2,24.0,1.0,62,52,germination
R2,25.0,1.0,69,52,germination
R2,26.0,1.0,62,52,germination
R3,26.0,1.0,72,46,germination
R1,27.0,1.0,65,51,germination
R2,27.0,1.0,69,52,germination
R3,27.0,1.0,67,46,germination
R2,28.0,1.0,72,52,germination
R1,29.0,1.0,67,51,germination
R3,30.0,1.0,72,46,germination
R1,31.0,1.0,60,51,germination
R3,31.0,1.0,72,46,germination
R2,32.0,1.0,74,52,germination
R3,32.0,1.0,67,46,germination
R1,33.0,1.0,57,51,germination
R2,33.0,1.0,77,52,germination
R3,33.0,1.0,67,46,germination
R1,34.0,1.0,65,51,germination
R3,34.0,1.0,69,46,germination
R1,35.0,1.0,67,51,germination
R2,35.0,1.0,69,52,germination
R3,35.0,1.0,72,46,germination
R1,36.0,1.0,57,51,germination
R2,36.0,1.0,72,52,germination
R3,36.0,1.0,67,46,germination
R1,37.0,1.0,65,51,germination
R2,37.0,1.0,65,52,germination
R1,38.0,1.0,65,51,germination
R2,38.0,1.0,72,52,germination
R3,38.0,1.0,74,46,germination
R1,39.0,1.0,55,51,germination
R2,39.0,1.0,74,52,germination
R3,39.0,1.0,69,46,germination
R1,40.0,1.0,62,51,germination
R2,40.0,1.0,74,52,germination
R1,41.0,1.0,57,51,germination
R2,41.0,1.0,77,52,germination
R2,42.0,1.0,69,52,germination
R3,42.0,1.0,72,46,germination
R1,43.0,1.0,55,51,germination
R3,43.0,1.0,67,46,germination
R1,44.0,1.0,62,51,germination
R3,44.0,1.0,69,46,germination
R1,45.0,1.0,57,51,germination
R2,45.0,1.0,69,52,germination
R1,46.0,1.0,55,51,germination
R2,46.0,1.0,62,52,germination
R1,47.0,1.0,53,51,germination
R2,48.0,0.5274157232242804,57,52,germination
R3,48.0,0.5608452355400342,77,46,germination
R1,49.0,0.9859719726167282,50,54,germination
R2,49.0,0.5278558874736416,57,58,germination
R3,49.0,0.5613626954458057,79,50,germination
R2,49.5,0.5278558874736416,57,58,germination
R1,50.0,1.0015852173831021,57,58,germination
R2,50.0,0.612556213561097,72,62,germination
R3,50.0,0.5151731553128522,67,55,germination
R2,50.5,0.612556213561097,79,62,germination
R1,51.0,1.001821458984165,65,61,germination
R2,51.0,0.612509110940417,79,67,germination
R3,51.0,0.5148345555049095,62,59,germination
R2,51.5,0.612509110940417,79,67,germination
R3,51.5,0.5148345555049095,62,59,germination
R1,52.0,1.0017093116043945,67,61,germination
R2,52.0,0.6127434091510738,79,67,germination
R2,52.5,0.6127434091510738,79,67,germination
R1,54.0,1.0,65,61,germination
R3,54.0,1.0,67,59,germination
R3,55.0,1.0,67,59,germination
R1,57.0,1.0,57,61,germination
R3,57.0,1.0,72,59,germination
R2,58.0,1.5,79,67,germination
R3,58.0,1.0,69,59,germination
R1,59.0,1.0,57,61,germination
R2,59.0,1.5,79,67,germination
R1,60.0,1.0,62,61,germination
R2,60.0,1.5,79,67,germination
R3,60.0,1.0,69,59,germination
R2,61.0,1.5,79,67,germination
R3,61.0,1.0,69,59,germination
R1,62.0,1.0,62,61,germination
R1,63.0,1.0,57,61,germination
R3,63.0,1.0,74,59,germination
R1,64.0,1.0,57,76,growth
R2,64.0,1.5,79,84,growth
R2,65.0,1.5,79,84,growth
R1,66.0,1.0,57,76,growth
R2,66.0,1.5,72,84,growth
R1,67.0,1.0,62,76,growth
R3,67.0,1.0,69,74,growth
R1,68.0,1.0,62,76,growth
R3,68.0,1.0,74,74,growth
R2,69.0,1.5,77,84,growth
R2,70.0,1.5,69,84,growth
R3,70.0,1.0,69,74,growth
R2,71.0,1.5,74,84,growth
R3,72.0,1.0,74,74,growth
R1,73.0,1.0,57,76,growth
R2,73.0,1.5,67,84,growth
R3,73.0,1.0,74,74,growth
R2,74.0,1.5,65,84,growth
R3,74.0,1.0,69,74,growth
R3,75.0,1.0,74,74,growth
R1,76.0,1.0,62,76,growth
R2,76.0,1.5,62,84,growth
R3,76.0,1.0,74,74,growth
R1,77.0,1.0,57,76,growth
R2,77.0,1.5,60,84,growth
R3,77.0,1.0,69,74,growth
R1,78.0,1.0,62,76,growth
R2,78.0,1.5,67,84,growth
R3,78.0,1.0,69,74,growth
R1,79.0,1.0,62,76,growth
R3,79.0,1.0,74,74,growth
R1,80.0,1.0,57,76,growth
R1,82.0,1.0,57,76,growth
R2,82.0,1.5,74,84,growth
R3,82.0,1.0,72,74,growth
R1,83.0,1.0,62,76,growth
R2,83.0,1.5,67,84,growth
R3,83.0,1.0,67,74,growth
R1,84.0,1.0,57,76,growth
R2,84.0,1.5,74,84,growth
R1,85.0,1.0,57,76,growth
R2,85.0,1.5,67,84,growth
R1,86.0,1.0,57,76,growth
R3,86.0,1.0,67,74,growth
R2,87.0,1.5,65,84,growth
R1,88.0,1.0,62,76,growth
R2,88.0,1.5,62,84,growth
R3,90.0,1.0,67,74,growth
R3,91.0,1.0,72,74,growth
R2,92.0,1.5,60,84,growth
R2,93.0,1.5,60,84,growth
R3,93.0,1.0,69,74,growth
R3,94.0,1.0,69,74,growth
R2,95.0,1.5,67,84,growth
R3,95.0,1.0,74,74,growth
R2,96.0,1.5,74,84,growth
R3,96.0,1.0,67,74,growth
R2,97.0,1.5,74,84,growth
R3,97.0,1.0,67,74,growth
R1,98.0,0.30682483086193024,65,76,growth
R2,98.0,0.3498292457634631,79,84,growth
R3,98.0,0.2719311586052141,62,74,growth
R1,98.5,0.30682483086193024,69,76,growth
R2,98.5,0.3498292457634631,79,84,growth
R3,98.5,0.2719311586052141,62,74,growth
R1,98.75,0.30682483086193024,72,76,growth
R2,98.75,0.3498292457634631,79,84,growth
R3,98.75,0.2719311586052141,62,74,growth
R1,99.0,0.3065085036094597,72,70,growth
R2,99.0,0.3497360984573049,79,79,growth
R3,99.0,0.2722938733450887,62,73,growth
R1,99.5,0.3065085036094597,72,70,growth
R2,99.5,0.3497360984573049,79,79,growth
R3,99.5,0.2722938733450887,62,73,growth
