Random,ACHP,PHR,AWWGV,ALAP,ANPL,ARD,ADWR,PDMVG,ARL,AWWR,ADWV,PDMRG,row_index,beat_index,source_row_start,source_row_end,bar_index,beat_in_bar
R1,34.50123742630308,54.56054053611634,1.150894777197921,1284.2369238340275,4.997260165521193,16.276165802656053,1.7070875340936253,18.400779420373755,19.73026745180491,2.958887460074476,0.21315942965540585,57.634284509070945,48.97142857142857,0.0,0.0,99.0,1.0,1.0
R2,33.10013711199235,67.06821494825476,1.1056545850705546,1009.2205614293027,4.998427681808937,15.962652371975524,1.1761939352691737,19.400772371565775,20.837893241826816,2.8458424167613723,0.2165726981819355,41.2988787352146,48.18421052631579,0.0,0.0,99.0,1.0,1.0
R3,36.29632725720469,45.59967023654458,1.3667944880481082,981.4670478188089,3.9961334681126477,16.998088150355404,0.7714489629716917,31.402826247974627,17.334264594220784,2.7614061679893904,0.42762935536776725,27.913479405563073,52.03703703703704,0.0,0.0,99.0,1.0,1.0
R1,34.498930135938075,54.56069878473081,1.155957610627021,1284.2353309747214,4.9999905914410165,16.279216639109922,1.7049185597880927,18.4035611616916,19.735218314760335,2.9577964769646696,0.21166623013576316,57.63592934056517,151.17142857142858,1.0,100.0,199.0,1.0,2.0
R2,33.102132774988,67.06624938617912,1.1092210687504505,1009.2256338358043,5.001396300215805,15.961550755763987,1.1772525952441493,19.397608500558558,20.840865938443883,2.845733381301957,0.21530451403611955,41.301380365497266,153.16666666666666,1.0,100.0,199.0,1.0,2.0
R3,36.30124028478366,45.6003262832624,1.366180640790005,981.4675911845864,4.001085701479845,16.997634050874083,0.771033972604508,31.403657780234067,17.33222448287169,2.7619562372602715,0.4289372047174214,27.91512439401524,144.68571428571428,1.0,100.0,199.0,1.0,2.0
R1,34.49826676506965,54.561446482380134,1.1533696570536311,1284.237353969043,4.999708178715945,16.273535219871945,1.7068609494756786,18.401008747746985,19.733830338821438,2.957974013652788,0.21233119829460326,57.63430508619992,248.65625,2.0,200.0,299.0,1.0,3.0
R2,33.09731649295227,67.07166289401457,1.109745162155972,1009.2228127442901,4.999220638316576,15.961411669629271,1.1749809429749758,19.405487087136848,20.841646137796065,2.847613315149374,0.21823711432222292,41.300267710763045,252.32,2.0,200.0,299.0,1.0,3.0
R3,36.30385264619776,45.60092140915835,1.3640974301493807,981.4704856371435,4.000311665641281,16.99895389758116,0.7698403520043473,31.40515509777765,17.331622661645383,2.7610244178608014,0.42662327262551053,27.914167253343933,248.48837209302326,2.0,200.0,299.0,1.0,3.0
R1,34.49776393377771,54.56021881547219,1.152313095963594,1284.236630916605,5.002928906225882,16.276449723720138,1.7071564402931607,18.403872379840806,19.734720533180248,2.9595933886620838,0.21417454162222258,57.634703174783155,346.75,3.0,300.0,399.0,1.0,4.0
R2,33.09940043047837,67.0744607013111,1.1095191843328658,1009.2194386505491,5.000624716459304,15.96549777912076,1.1734788417184776,19.402061783768055,20.839544479529614,2.845096031219751,0.2136203676240373,41.30230789814697,347.38461538461536,3.0,300.0,399.0,1.0,4.0
R3,36.299101410480084,45.60115051475265,1.363723930143705,981.4719021171205,3.9999830235654046,16.998630553153095,0.7722099431517797,31.4067023704294,17.335054603774463,2.7634095298524315,0.4282411160710241,27.910520683882584,355.3666666666667,3.0,300.0,399.0,1.0,4.0
R1,34.499157234523864,54.56157872320659,1.1516442533054563,1284.2380125308537,4.997515795782773,16.275401433890693,1.7059753288127628,18.403470227249617,19.732326255345814,2.9588772738454217,0.21162658500553527,57.63481193830081,449.96875,4.0,400.0,499.0,2.0,1.0
R2,33.10159313433646,67.06883044271616,1.1067075580011962,1009.2230912056842,5.0015881287569615,15.961692097492554,1.175333420450235,19.40438575204894,20.84196397068471,2.8456127013668433,0.21278054546590228,41.298778018934605,447.8205128205128,4.0,400.0,499.0,2.0,1.0
R3,36.30300514311761,45.60141006527037,1.3661340219402947,981.464810449134,4.000461156044529,17.000823326025085,0.7714971470233402,31.40581349773475,17.335412621282224,2.76222572334037,0.42975051639946754,27.912567816275317,451.2413793103448,4.0,400.0,499.0,2.0,1.0
R1,34.501250700203464,54.558503333232615,1.1478518485899927,1284.2355699823595,5.001853182492391,16.2770706184947,1.7076259495660993,18.4001326024071,19.7331441502434,2.958183777780481,0.21305034890364988,57.633087180322335,549.8,5.0,500.0,599.0,2.0,2.0
R2,33.099167333800736,67.0679964628413,1.1066852515666934,1009.2257760871223,5.001355948400455,15.965524274087107,1.175259954762342,19.403401529835246,20.84332819827278,2.8468878150519012,0.21486160497403856,41.30143308186922,546.2439024390244,5.0,500.0,599.0,2.0,2.0
R3,36.29907211718731,45.60297534852414,1.3689622093412739,981.4684898223372,4.0015697430245885,17.002184881425727,0.7738371207271892,31.404304209098594,17.33315788836206,2.761841838286759,0.4279300315609723,27.914203256526857,553.7931034482758,5.0,500.0,599.0,2.0,2.0
R1,34.501337414662125,54.55860886015353,1.1508624644283183,1284.2369446972264,4.9982679641429595,16.276909130608892,1.704956158366269,18.39874611112672,19.734834198554246,2.9607636026985196,0.21458745938851168,57.63435045857743,641.4705882352941,6.0,600.0,699.0,2.0,3.0
R2,33.09928153663202,67.0702204131578,1.1091674788443275,1009.2244702152675,5.001011394481909,15.961706300659756,1.1775672675078763,19.40150353437034,20.83792504755989,2.843352600013958,0.21818144813287862,41.29780778194224,653.2571428571429,6.0,600.0,699.0,2.0,3.0
R3,36.29921874863988,45.598870497329145,1.3643689741533305,981.471614238037,3.9993115363787037,16.997264385505666,0.7740082610223727,31.404332136425822,17.33212543322944,2.7637447015242116,0.4266155859397028,27.915313374807962,654.0645161290323,6.0,600.0,699.0,2.0,3.0
R1,34.4983703290574,54.56033581498662,1.1534609956468762,1284.2358704018102,5.00332005450166,16.279415889408067,1.705262158008646,18.399435196878454,19.739213607819412,2.962948257294664,0.2117114839084979,57.63409152106334,754.4117647058823,7.0,700.0,799.0,2.0,4.0
R2,33.097772335084755,67.06863397694158,1.108667146008035,1009.2237060525279,4.998183998111954,15.96206456273247,1.1722874034676314,19.400372861662447,20.838615428748533,2.8436608657491744,0.21447026481580628,41.301702348169485,744.65,7.0,700.0,799.0,2.0,4.0
R3,36.30023806490005,45.59806656329775,1.364666029012447,981.4703937563924,4.00133143512305,17.0006546140436,0.7706132919304416,31.405098176973652,17.330667859517824,2.7595375208797157,0.4255469629052616,27.914959787544067,750.5384615384615,7.0,700.0,799.0,2.0,4.0
R1,34.500803219962556,54.55952994575191,1.152735370639323,1284.2335937624628,4.998946388321373,16.276099448709914,1.7062009380272503,18.40171979746725,19.733756187239724,2.9589875621859307,0.2064830312406231,57.63523653372811,847.6071428571429,8.0,800.0,899.0,3.0,1.0
R2,33.0995105301986,67.06978336244649,1.1104774108300894,1009.2225230873386,5.002455663785942,15.961616366932121,1.1735617644980896,19.402326953012697,20.841217137759735,2.8429307930628447,0.2152657041026216,41.301576209532854,853.7380952380952,8.0,800.0,899.0,3.0,1.0
R3,36.29825800760414,45.60072113967606,1.3613387914939508,981.4693654046481,4.002610713044748,17.00094706225984,0.772184435668841,31.40437071163061,17.332917954366533,2.76193465111311,0.42812416086288746,27.91346729553016,845.3333333333334,8.0,800.0,899.0,3.0,1.0
R1,34.497883848648,54.560661131896396,1.1546808425286272,1284.2331569759374,4.99892727566885,16.277572611863196,1.7063065154520995,18.400204599864765,19.73383651189652,2.959149830888615,0.21128398585501243,57.63453252542699,945.84375,9.0,900.0,999.0,3.0,2.0
R2,33.10204294264595,67.06895093579648,1.10699963473121,1009.2196973671342,4.9977171598241155,15.963922392224958,1.1763805702281052,19.40227993715304,20.841569249346865,2.8462814046176095,0.21369199473803308,41.30186562972541,950.0512820512821,9.0,900.0,999.0,3.0,2.0
R3,36.300481759739036,45.59968073357125,1.36473654919894,981.4704736705287,3.9995265087312566,16.997130235256428,0.770124881765438,31.40625914000659,17.33286359131618,2.7627084330846765,0.42931210392245284,27.917108235290897,952.7931034482758,9.0,900.0,999.0,3.0,2.0
R1,34.501732126026944,54.55926894877935,1.14971489579756,1284.2360287868592,4.995962400951472,16.277182553147522,1.7100224432481606,18.401809328104743,19.732811406223878,2.9617878664137667,0.21077270105483686,57.636485299900556,1048.2380952380952,10.0,1000.0,1099.0,3.0,3.0
R2,33.0971155152691,67.07094256379554,1.1054436579117106,1009.2214865921794,4.997365999337045,15.961443357121954,1.1720721766508473,19.40215858504505,20.841268334389774,2.844689699046264,0.21495528608183043,41.30173879863117,1051.6666666666667,10.0,1000.0,1099.0,3.0,3.0
R3,36.301072685933896,45.59971366990597,1.3671867816188155,981.4709100082156,3.9993065544858792,16.999191083262794,0.773524433260882,31.40430986780248,17.332896619733386,2.7643810691004966,0.429339902598778,27.91527807981901,1049.0714285714287,10.0,1000.0,1099.0,3.0,3.0
R1,34.49936475124549,54.55986503637266,1.150427331045278,1284.233204383313,4.99859191150866,16.276062762120517,1.7063469152444728,18.402969561815176,19.736595108722206,2.958714209154662,0.2137522231400234,57.63547338514963,1145.2222222222222,11.0,1100.0,1199.0,3.0,4.0
R2,33.09521060662702,67.07205034048305,1.1075537855787951,1009.2257551402873,4.99964280208107,15.962348492850696,1.178350239838086,19.400371273792718,20.837894427406074,2.8459030852177727,0.21580497426391215,41.30075010178639,1153.3703703703704,11.0,1100.0,1199.0,3.0,4.0
R3,36.2975464157257,45.59779805753652,1.3634879034907186,981.4702638628892,3.998894654755479,17.001974021854185,0.772532089479328,31.403421848183935,17.33471660662507,2.7615493474840958,0.42771002391630414,27.91480895079785,1150.837837837838,11.0,1100.0,1199.0,3.0,4.0
R1,34.498904353671165,54.559293971303916,1.154861220926853,1284.2365627302113,4.996501313686386,16.274066476321128,1.7036445585267854,18.40027450638043,19.737445458749047,2.9597629210899026,0.21016100136164792,57.63488829576681,1248.4242424242425,12.0,1200.0,1299.0,4.0,1.0
R2,33.10046141923709,67.06818502914165,1.1081687927600852,1009.2228270319632,5.000955567102054,15.962652495483356,1.1723132373330774,19.402088438017792,20.837494501737993,2.8410049055573006,0.21537744215541002,41.299274582337574,1245.9333333333334,12.0,1200.0,1299.0,4.0,1.0
